first,last,user,match_request,time_since_last
1455120574.06738,1455120574.37635,1,false,0
1455120235.01183,1455120410.93795,2,false,0
1455123460.28734,1455123487.58784,27,true,0
1455123975.53378,1455124131.4552,28,true,0
1455124573.76308,1455124860.73315,3,false,0
1455121721.24552,1455121721.24552,1,false,1146.8691701889038
1455128265.37796,1455128650.65483,41,true,0
1455127759.83507,1455127789.11517,37,false,0
1455127701.37948,1455127701.83617,36,false,0
1455119583.76055,1455120294.4029,7,true,0
1455129736.74212,1455129965.65935,85,false,0
1455129636.74101,1455130165.66801,41,true,986.086179971695
1455127625.13057,1455128969.81659,34,true,0
1455129090.28539,1455130068.7716,80,true,0
1455124451.94662,1455124453.7192,17,false,0
1455129211.27413,1455130804.98147,82,true,0
1455132263.98692,1455132507.60576,97,true,0
1455132996.5802,1455133150.3976,17,true,8542.861000061035
1455129460.06145,1455129898.5291,1,false,7738.815929889679
1455129559.26752,1455129651.4939,84,false,0
1455129212.57759,1455131365.75632,3,true,4351.844439983368
1455132174.06935,1455132184.55673,41,true,2008.401340007782
1455135209.59436,1455135887.99484,1,false,5311.06526017189
1455121838.25983,1455122384.5707,25,true,0
1455140051.73699,1455141496.40965,3,false,8685.98066997528
1455141713.6983,1455142817.06333,1,false,5825.703459978104
1455128583.63088,1455128583.91016,77,false,0
1455137923.9386,1455139291.63725,112,false,0
1455142121.12582,1455142259.63551,25,true,19736.555119991302
1455143916.64454,1455143983.48843,1,false,1099.5812101364136
1455121799.56092,1455122320.95173,2,false,1388.6229701042175
1455143471.00498,1455143594.90673,3,true,1974.5953299999237
1455131303.78987,1455131352.36626,7,true,11009.386970043182
1455132327.02427,1455132823.38497,16,true,0
1455134683.78493,1455134769.55785,17,true,1533.3873300552368
1455119536.64541,1455120292.36811,24,true,0
1455123418.0702,1455123526.69316,26,true,0
1455126063.81552,1455126089.87637,27,false,2576.2276799678802
1455126582.67077,1455126760.67297,28,true,2451.215569972992
1455124025.88434,1455125049.5657,29,true,0
1455126483.14395,1455126739.628,30,true,0
1455126866.94525,1455126981.17343,31,true,0
1455127519.17345,1455127793.15412,32,true,0
1455127620.81125,1455128227.87316,33,true,0
1455132409.85224,1455132424.28211,34,false,3440.0356500148773
1455127676.74893,1455128243.93952,35,true,0
1455130048.30605,1455130290.02309,36,true,2346.469880104065
1455129798.68899,1455130103.89497,37,true,2009.5738201141357
1455127909.70387,1455128216.0906,38,true,0
1455128095.05111,1455128118.04975,39,false,0
1455128130.88197,1455128163.45385,40,false,0
1455128318.98735,1455128441.82241,42,true,0
1455128322.05808,1455128330.93583,43,false,0
1455128405.85383,1455128665.17847,44,true,0
1455128449.62499,1455128749.44982,45,true,0
1455146508.8601,1455146600.81197,77,true,17924.9499399662
1455128863.02119,1455128863.51579,78,false,0
1455128931.07753,1455130104.7425,79,true,0
1455132603.084,1455132612.18617,80,false,2534.3124001026154
1455129126.68828,1455131446.55076,81,true,0
1455133249.31886,1455133261.85714,82,true,2444.337389945984
1455129271.81986,1455129336.89895,83,false,0
1455136943.92445,1455137118.42898,84,true,7292.430549860001
1455131796.86675,1455131843.73567,85,true,1831.2074000835419
1455129742.76592,1455129812.10788,86,false,0
1455129922.61513,1455129951.05212,87,false,0
1455130259.29387,1455130309.97056,88,true,0
1455130306.92015,1455130395.53923,89,true,0
1455130796.25847,1455130907.83653,90,true,0
1455131018.42844,1455131103.16478,91,true,0
1455131136.58642,1455131172.95969,92,true,0
1455131189.69667,1455131217.83768,93,false,0
1455131272.45895,1455131379.00504,94,false,0
1455131380.12868,1455131380.38117,95,false,0
1455131696.92405,1455131830.37947,96,true,0
1455133966.37472,1455133967.4417,97,false,1458.7689599990845
1455132453.42601,1455132518.55908,98,true,0
1455132691.33203,1455132740.76601,99,true,0
1455132788.69421,1455133053.71493,100,true,0
1455132845.68103,1455132948.65761,101,true,0
1455133252.37488,1455133294.6675,102,true,0
1455133502.38667,1455134074.68769,103,true,0
1455133517.11897,1455133567.79349,104,true,0
1455133941.14297,1455134070.69425,105,true,0
1455134126.82341,1455135160.92784,106,true,0
1455135430.12687,1455135466.86172,107,true,0
1455136217.89685,1455137874.78833,108,true,0
1455136257.01221,1455136289.13324,109,false,0
1455136277.38173,1455136676.66383,110,true,0
1455136742.68022,1455136744.26256,111,false,0
1455147126.47658,1455147332.17836,112,true,7834.839329957962
1455138685.92016,1455138686.61184,113,false,0
1455139202.108,1455139202.90463,114,false,0
1455139388.25879,1455139436.44976,115,false,0
1455139495.7973,1455139495.7973,116,false,0
1455139918.49036,1455140485.43366,117,false,0
1455140212.28827,1455141285.17059,118,false,0
1455144130.87484,1455144229.93482,119,false,0
1455145446.34893,1455145798.65881,120,true,0
1455147738.02683,1455148172.98868,25,true,5478.391319990158
1455147185.47448,1455148944.74203,20,true,0
1455140870.02753,1455150751.93944,41,true,8685.470799922943
1455150468.46381,1455151042.93658,1,true,6484.975379943848
1455151180.5958,1455151340.08946,20,true,2235.853770017624
1455187330.11788,1455187416.44703,140,false,0
1455154724.46264,1455155044.96059,1,true,3681.52606010437
1455189872.72446,1455189873.26027,85,false,58028.98878979683
1455190786.11231,1455191421.36296,143,true,0
1455189657.61389,1455189700.6068,1,true,34612.65330004692
1455190941.7356,1455194826.43327,85,true,1068.475329875946
1455184127.63594,1455194826.89754,24,true,63835.26783013344
1455186892.22237,1455187848.52353,139,true,0
1455184575.80742,1455185993.07628,2,false,62254.85569000244
1455186513.8796,1455186514.50201,3,false,42918.972870111465
1455191965.36847,1455192665.16787,144,true,0
1455199064.36434,1455200058.86781,3,false,12549.86232995987
1455194922.79297,1455199958.27383,,false,0
1455189498.01343,1455190085.48067,140,true,2081.566400051117
1455199075.05079,1455199075.32918,144,false,6409.882920026779
1455198024.09393,1455198029.07802,2,false,12031.017649888992
1455204233.04523,1455204233.29875,2,false,6203.967209815979
1455201282.31382,1455201290.98166,3,false,1223.4460098743439
1455158667.65309,1455158701.70538,20,false,7327.563630104065
1455196408.03113,1455201391.79707,24,true,1581.1335899829865
1455207302.41916,1455207860.94422,24,true,5910.6220898628235
1455206407.04715,1455206419.73069,2,false,2173.7483999729156
1455207366.28521,1455208705.96786,156,true,0
1455208235.68132,1455208236.7344,13,false,0
1455209804.58471,1455209924.55213,156,true,1098.616849899292
1455213079.82063,1455213101.12147,171,false,0
1455185505.61381,1455186196.40434,137,true,0
1455194929.67131,1455195861.92556,1,false,5229.064509868622
1455213032.74342,1455213159.22027,168,false,0
1455213429.60686,1455213472.66927,176,false,0
1455212904.04502,1455213099.27788,166,false,0
1455213078.5495,1455213686.36195,170,false,0
1455214258.39223,1455214258.73551,187,false,0
1455215036.39728,1455215056.75448,171,false,1935.2758100032806
1455215860.85256,1455215879.3629,176,false,2388.18329000473
1455212908.67494,1455212910.06165,167,false,0
1455209308.40137,1455209372.47892,2,false,2888.6706800460815
1455214100.16712,1455214501.98623,183,false,0
1455216087.30505,1455216243.31664,199,false,0
1455215660.15252,1455215961.56814,195,false,0
1455216030.1268,1455216193.09844,198,false,0
1455217271.83016,1455217291.90295,167,false,4361.768509864807
1455215460.07213,1455215994.59624,137,true,29263.667789936066
1455153941.5149,1455157195.96541,41,true,3189.575459957123
1455215588.21919,1455216004.86481,1,false,19726.29362988472
1455218194.19462,1455218194.69294,199,false,1950.8779799938202
1455211580.35435,1455211761.31114,13,true,3343.619950056076
1455217597.90655,1455217661.88093,208,false,0
1455218710.10274,1455218715.0665,198,false,2517.0043001174927
1455214446.30112,1455214817.63881,189,false,0
1455218969.96567,1455219367.75696,216,false,0
1455217904.24611,1455218023.92871,211,false,0
1455212724.55434,1455213527.86704,156,true,2800.0022099018097
1455217838.69718,1455218150.74922,210,false,0
1455217963.08405,1455218023.7155,213,false,0
1455219222.80974,1455219256.34647,1,false,3217.944930076599
1455217958.22304,1455218853.12104,212,false,0
1455220729.60074,1455220735.63476,211,false,2705.6720299720764
1455220683.44216,1455220776.35108,216,false,1315.6851999759674
1455220971.39088,1455220991.31407,228,false,0
1455218789.14181,1455218789.98499,167,false,1497.2388598918915
1455213943.01403,1455214036.39608,182,false,0
1455213907.74465,1455214005.38914,181,false,0
1455208849.70165,1455208975.9575,24,true,988.7574298381805
1455215371.63281,1455215373.00313,193,false,0
1455217215.19866,1455217215.61757,171,false,2158.4441800117493
1455221322.94402,1455221436.16994,231,false,0
1455213313.65289,1455213357.68222,173,false,0
1455212347.20126,1455217184.16925,161,true,0
1455221868.55518,1455221914.98855,232,false,0
1455221861.13817,1455221861.47298,216,false,1084.787090063095
1455221499.93475,1455221502.61606,212,false,2646.813709974289
1455223595.55861,1455223650.27584,24,false,14619.601109981537
1455222711.24767,1455222718.51206,236,false,0
1455225450.93229,1455225603.93469,161,true,8266.763040065765
1455225640.1289,1455225640.96975,276,false,0
1455219060.37678,1455225176.56858,217,true,0
1455215675.75655,1455215950.45877,196,false,0
1455194065.87807,1455194222.51022,145,true,0
1455224788.1891,1455225881.1606,271,false,0
1455226580.9878,1455226880.59166,24,true,2930.711959838867
1455229140.36205,1455229460.38691,284,true,0
1455230176.19124,1455230273.05389,290,false,0
1455229592.62242,1455229877.87762,79,true,99487.8799200058
1455231365.45933,1455231595.13636,292,true,0
1455217831.64879,1455217832.87792,2,false,8459.16986989975
1455221393.28598,1455223027.33505,1,false,2136.939509868622
1455206667.51266,1455206667.73393,3,false,5376.531000137329
1455223099.21779,1455223906.41736,4,true,0
1455205523.39749,1455205665.32996,7,true,74171.03122997284
1455219831.8522,1455219833.68788,13,false,8070.541059970856
1455185368.54464,1455185627.56205,19,true,0
1455206827.3216,1455206949.72605,20,true,48125.616219997406
1455187645.4355,1455187940.89046,22,true,0
1455229771.10179,1455229993.35867,24,false,2890.510129928589
1455150404.26799,1455150463.05265,25,false,2231.2793102264404
1455157303.57603,1455157517.35471,29,true,32254.010329961777
1455222436.20928,1455228662.41698,36,true,92146.18619012833
1455219711.43242,1455219745.8445,37,true,89607.53745007515
1455219131.3535,1455222880.79662,41,true,61935.38808989525
1455155522.66385,1455155522.66385,77,false,8921.851880073547
1455232398.29219,1455232399.33517,79,false,2520.414570093155
1455196180.77953,1455196220.60409,85,false,1354.3462600708008
1455215500.5592,1455222881.78956,90,true,84592.72267007828
1455198506.77628,1455199057.15484,106,true,63345.84843993187
1455214121.74016,1455214874.32318,112,true,66789.56180000305
1455149970.92323,1455149971.5933,121,false,0
1455150447.0045,1455151443.11251,122,true,0
1455150680.57881,1455150792.86069,123,true,0
1455150716.91588,1455151630.95658,124,true,0
1455151564.00838,1455153107.00981,125,true,0
1455151737.45772,1455151905.71855,126,true,0
1455153587.02933,1455153710.52737,127,true,0
1455157316.79312,1455157359.84357,128,false,0
1455157810.255,1455157838.87413,129,false,0
1455158336.23054,1455158336.59424,130,false,0
1455159262.01212,1455159384.82685,131,true,0
1455171042.07908,1455171345.37877,132,true,0
1455174457.05359,1455174655.67433,133,true,0
1455179802.89603,1455180627.63212,134,true,0
1455181656.09403,1455181845.40294,135,true,0
1455185455.05321,1455185455.72347,136,false,0
1455218971.01817,1455222440.2148,137,false,2976.4219300746918
1455186712.88533,1455187567.82286,138,true,0
1455197412.27485,1455198017.88171,139,false,9563.751319885254
1455201678.64465,1455203041.26702,140,true,11593.163980007172
1455189257.31518,1455189259.02344,141,false,0
1455189558.35723,1455189679.16575,142,true,0
1455194282.87323,1455194778.421,143,true,2861.510269880295
1455202211.79715,1455202320.80737,144,true,3136.467969894409
1455228984.4581,1455229361.65253,145,true,34761.94788002968
1455196072.54238,1455197101.63377,146,true,0
1455199728.38168,1455199754.53731,147,false,0
1455202227.99572,1455203802.94192,148,true,0
1455203745.94958,1455203981.23018,149,true,0
1455204060.54683,1455204940.4399,150,false,0
1455204544.45058,1455204546.15581,151,false,0
1455205113.28308,1455207294.79481,152,true,0
1455205969.81437,1455206240.54999,153,true,0
1455206186.68183,1455206219.17319,154,false,0
1455206632.90904,1455207427.9254,155,true,0
1455220752.24579,1455222879.80027,156,false,7224.378750085831
1455208943.86758,1455209132.45114,157,false,0
1455211034.07329,1455211768.26298,158,true,0
1455211972.49295,1455214891.56384,159,true,0
1455212161.17419,1455222881.70054,160,true,0
1455227293.88606,1455230507.96205,161,false,1689.9513700008392
1455212521.73574,1455212522.55654,162,false,0
1455212554.18649,1455212597.93501,163,false,0
1455212604.27916,1455212630.16786,164,false,0
1455212745.8661,1455212773.02033,165,false,0
1455216177.521,1455216179.43429,166,false,3078.243119955063
1455222220.23575,1455222221.09009,167,false,3430.25076007843
1455215619.81849,1455215629.6601,168,false,2460.5982201099396
1455213076.18043,1455213126.29729,169,false,0
1455216332.15887,1455217333.99794,170,false,2645.7969200611115
1455224317.71312,1455224843.97189,171,true,7102.095550060272
1455213175.85331,1455213362.09689,172,false,0
1455225327.79211,1455225613.49983,173,true,11970.10988998413
1455213377.80062,1455213409.35071,174,false,0
1455213420.14293,1455213548.17439,175,false,0
1455217255.71616,1455217284.46552,176,false,1376.3532600402832
1455213455.77791,1455213483.97509,177,false,0
1455213531.88093,1455213532.46875,178,false,0
1455213614.9117,1455213869.33813,179,false,0
